2018-02-22 01:29:29,612  INFO   [qtp1607453282-119670] - 843718469 1407196734 TOTAL time=9 Preprocessing time=0 Persistency time=9 Change Date=[1519262969599]  Objects- A:[1], U:[0], R:[0]; Links- A:[0], U:[0], R:[0]     
2018-02-22 01:29:43,949  INFO   [qtp1607453282-119668] - 246279816 2132143008 TOTAL time=5 Preprocessing time=0 Persistency time=5 Change Date=[1519262983939]  Objects- A:[1], U:[0], R:[0]; Links- A:[0], U:[0], R:[0]     
2018-02-22 01:29:46,927  INFO   [qtp1607453282-119668] - 1170210996 80203443 TOTAL time=7 Preprocessing time=0 Persistency time=7 Change Date=[1519262986917]  Objects- A:[0], U:[0], R:[0]; Links- A:[1], U:[0], R:[0]     
2018-02-22 01:30:03,235  INFO   [qtp1607453282-119627] - 38865523 387099549 TOTAL time=8 Preprocessing time=0 Persistency time=8 Change Date=[1519263003223]  Objects- A:[1], U:[0], R:[0]; Links- A:[0], U:[0], R:[0]     
2018-02-22 01:30:07,080  INFO   [qtp1607453282-119668] - 294974606 709424872 TOTAL time=7 Preprocessing time=0 Persistency time=7 Change Date=[1519263007070]  Objects- A:[0], U:[0], R:[0]; Links- A:[1], U:[0], R:[0]     
2018-02-22 01:30:27,598  INFO   [qtp1607453282-119668] - 1324964580 878072076 TOTAL time=6 Preprocessing time=0 Persistency time=6 Change Date=[1519263027589]  Objects- A:[1], U:[0], R:[0]; Links- A:[0], U:[0], R:[0]     
2018-02-22 01:30:29,773  INFO   [qtp1607453282-119627] - 331010014 741520488 TOTAL time=7 Preprocessing time=0 Persistency time=7 Change Date=[1519263029762]  Objects- A:[0], U:[0], R:[0]; Links- A:[1], U:[0], R:[0]     
2018-02-22 15:46:46,013  INFO   [qtp1607453282-124174] - 2065652526 349545293 TOTAL time=81 Preprocessing time=0 Persistency time=81 Change Date=[1519314405871]  Objects- A:[1], U:[0], R:[0]; Links- A:[0], U:[0], R:[0]     
2018-02-22 15:47:04,855  INFO   [qtp1607453282-124174] - 2127712254 307580771 TOTAL time=17 Preprocessing time=0 Persistency time=17 Change Date=[1519314424832]  Objects- A:[1], U:[0], R:[0]; Links- A:[0], U:[0], R:[0]     
2018-02-22 15:47:08,019  INFO   [qtp1607453282-124174] - 216206953 996068517 TOTAL time=12 Preprocessing time=0 Persistency time=12 Change Date=[1519314427980]  Objects- A:[0], U:[0], R:[0]; Links- A:[1], U:[0], R:[0]     
